Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
2755	8,8,8,6,6,6,6,5,6,6,6,6	0.02588796615600586,0.00886070728302002,0.013581611216068268,2.773901796899736E-4,2.694976865313947E-4,2.773901796899736E-4,2.8590892907232046E-4,3.7116053863428533E-4,0.0,0.0,0.0,0.0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1	7.42,7.42,7.42,8.54,8.54,8.54,8.54,9.33,7.09,7.09,7.09,7.09	0,0,0,0,0,0,0,0,0,0,0,0	4,6,6,2,2,2,2,1,2,2,2,2	24.0,24.0,24.0,21.0,21.0,21.0,21.0,15.0,20.0,20.0,21.0,20.0	17.0,16.0,15.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0	56.0,60.0,59.0,42.0,42.0,42.0,42.0,28.0,41.0,41.0,43.0,41.0	25.0,23.0,22.0,16.0,16.0,16.0,16.0,14.0,15.0,15.0,15.0,15.0	41.0,40.0,39.0,32.0,32.0,32.0,32.0,25.0,30.0,30.0,31.0,30.0	81.0,83.0,81.0,58.0,58.0,58.0,58.0,42.0,56.0,56.0,58.0,56.0	433.96173,441.72003,428.11758,290.0,290.0,290.0,290.0,195.04196,274.78586,274.78586,287.34338,274.78586	17.647058,17.25,17.6,15.272728,15.272728,15.272728,15.272728,10.5,15.0,15.0,15.75,15.0	7658.148,7619.6704,7534.8696,4429.0913,4429.0913,4429.0913,4429.0913,2047.9406,4121.788,4121.788,4525.658,4121.788	425.45267,423.31503,418.60388,246.06062,246.06062,246.06062,246.06062,113.774475,228.98822,228.98822,251.42546,228.98822	0.14465392,0.14724001,0.14270586,0.096666664,0.096666664,0.096666664,0.096666664,0.06501399,0.091595285,0.091595285,0.095781125,0.091595285	105.50367736816406,105.41152954101562,105.57418060302734,112.26011657714844,112.26011657714844,112.26011657714844,112.26011657714844,117.2763900756836,112.54033660888672,112.54033660888672,112.30796813964844,112.54033660888672	0,2,16,75,76,91,92,103,209,229,803,1070	0,2,1,1,1,1,1,2,4,1,1,1	0,4,2,6,2,2,2,5,7,2,2,2	0,22,2,115,2,1,3,85,148,1,11,8	2050.json
1421	6,6	0.4487232267856598,0.4288465082645416	1,1	1,1	2,2	2,2	2.75,2.75	1,1	3,3	17.0,17.0	7.0,7.0	29.0,29.0	10.0,10.0	24.0,24.0	39.0,39.0	178.81354,178.81354	12.142858,12.142858	2171.3074,2171.3074	120.62819,120.62819	0.059604514,0.059604514	114.54450988769531,114.54450988769531	0,172	0,1	0,2	0,13	944.json
3771	6,6,6,6	0.16566944122314453,0.16316373646259308,0.16316373646259308,0.16316373646259308	1,1,1,1	1,1,1,1	2,2,2,2	2,2,2,2	5.5,5.5,5.5,5.5	1,1,1,1	1,1,1,1	20.0,20.0,20.0,20.0	8.0,8.0,8.0,8.0	32.0,32.0,32.0,32.0	12.0,12.0,12.0,12.0	28.0,28.0,28.0,28.0	44.0,44.0,44.0,44.0	211.52362,211.52362,211.52362,211.52362	15.0,15.0,15.0,15.0	3172.8542,3172.8542,3172.8542,3172.8542	176.26968,176.26968,176.26968,176.26968	0.07050788,0.07050788,0.07050788,0.07050788	113.67094421386719,113.67094421386719,113.67094421386719,113.67094421386719	0,8,118,456	0,1,0,0	0,2,0,0	0,9,0,0	503.json
3265	3,3	0.10502992570400238,0.11936673521995544	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	12.0,12.0	5.0,5.0	15.0,15.0	6.0,6.0	17.0,17.0	21.0,21.0	85.83672,85.83672	7.2000003,7.2000003	618.0244,618.0244	34.33469,34.33469	0.028612241,0.028612241	129.81976318359375,129.81976318359375	0,2103	0,1	0,2	0,14	4233.json
2113	3	0.45333364605903625	0	0	0	1	1.89	0	1	11.0	3.0	13.0	3.0	14.0	16.0	60.91768	5.5	335.04724	18.613735	0.020305892	131.60296630859375	0	0	0	0	3126.json
2727	14,14,12,12,12,11,12	0.3372989892959595,0.4194033741950989,0.7863447666168213,0.7884163856506348,0.7789284586906433,0.8376530408859253,0.4419933557510376	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1,1,1,1,1,1,1	6.59,6.59,6.9,6.9,6.9,7.05,6.14	0,0,0,0,0,0,0	6,6,2,2,2,1,2	24.0,25.0,22.0,22.0,22.0,14.0,20.0	19.0,18.0,14.0,14.0,14.0,13.0,13.0	64.0,63.0,46.0,46.0,46.0,32.0,45.0	28.0,27.0,21.0,21.0,21.0,19.0,20.0	43.0,43.0,36.0,36.0,36.0,27.0,33.0	92.0,90.0,67.0,67.0,67.0,51.0,65.0	499.21637,488.36383,346.38498,346.38498,346.38498,242.49927,327.88562	17.68421,18.75,16.5,16.5,16.5,10.230769,15.384616	8828.247,9156.822,5715.352,5715.352,5715.352,2480.954,5044.3945	490.45816,508.71234,317.51956,317.51956,317.51956,137.83078,280.24414	0.16640545,0.16278794,0.11546166,0.11546166,0.11546166,0.08083309,0.109295204	95.70946502685547,95.8237533569336,100.10724639892578,100.10724639892578,100.10724639892578,103.37090301513672,100.39265441894531	0,47,48,63,64,75,181	0,1,1,1,1,2,3	0,2,4,2,2,6,5	0,9,115,1,3,87,167	1859.json
1952	4	0.9289824962615967	0	0	0	1	4.0	0	0	15.0	4.0	20.0	4.0	19.0	24.0	101.950264	7.5	764.62695	42.479275	0.03398342	124.26470947265625	0	0	0	0	2472.json
4804	3,3,3,3	0.14430052042007446,0.31975895166397095,0.14430052042007446,0.14430052042007446	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	2,1,2,2	13.0,11.0,13.0,13.0	3.0,3.0,3.0,3.0	16.0,13.0,16.0,16.0	4.0,4.0,4.0,4.0	16.0,14.0,16.0,16.0	20.0,17.0,20.0,20.0	80.0,64.72504,80.0,80.0	8.666667,7.3333335,8.666667,8.666667	693.3334,474.65027,693.3334,693.3334	38.51852,26.36946,38.51852,38.51852	0.026666667,0.021575011,0.026666667,0.026666667	130.18594360351562,131.28770446777344,130.18594360351562,130.18594360351562	0,113,154,1489	0,1,1,0	0,2,2,0	0,13,13,0	4168.json
2607	5,15,15	0.05271642655134201,0.006492961663752794,0.007111039012670517	0,3,3	0,2,2	0,5,5	1,3,3	1.96,3.3,3.3	0,2,2	4,8,8	19.0,25.0,24.0	7.0,12.0,12.0	31.0,64.0,60.0	10.0,21.0,21.0	26.0,37.0,36.0	41.0,85.0,81.0	192.71803,442.80356,418.76395	13.571429,21.875,21.0	2615.4592,9686.328,8794.043	145.30328,538.12933,488.55795	0.064239345,0.14760119,0.13958798	117.3387222290039,94.75533294677734,95.04558563232422	0,0,927	0,19,2	0,22,4	0,777,18	3646.json
617	21,21,24	0.003683544462546706,0.003532000817358494,0.0029521649703383446	2,2,2	5,5,6	7,7,8	5,5,6	4.15,4.15,3.99	3,3,3	9,9,10	32.0,33.0,33.0	17.0,17.0,17.0	115.0,117.0,127.0	45.0,45.0,47.0	49.0,50.0,50.0	160.0,162.0,174.0	898.3536,914.3047,982.03094	42.35294,43.676468,45.61765	38047.914,39933.598,44797.94	2113.773,2218.5332,2488.7744	0.2994512,0.30476823,0.32734364	85.16580200195312,85.07428741455078,82.30948638916016	0,0,29	0,1,4	0,2,4	0,9,87	2917.json
4820	3,3,3,3,3	0.09033315628767014,0.09033315628767014,0.09033315628767014,0.09033315628767014,0.09033315628767014	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.89,1.89,1.89,1.89,1.89	0,0,0,0,0	2,2,2,2,2	14.0,14.0,14.0,14.0,14.0	3.0,3.0,3.0,3.0,3.0	19.0,19.0,19.0,19.0,19.0	5.0,5.0,5.0,5.0,5.0	17.0,17.0,17.0,17.0,17.0	24.0,24.0,24.0,24.0,24.0	98.099106,98.099106,98.099106,98.099106,98.099106	11.666666,11.666666,11.666666,11.666666,11.666666	1144.4895,1144.4895,1144.4895,1144.4895,1144.4895	63.58275,63.58275,63.58275,63.58275,63.58275	0.0326997,0.0326997,0.0326997,0.0326997,0.0326997	129.12539672851562,129.12539672851562,129.12539672851562,129.12539672851562,129.12539672851562	0,1035,1035,1167,1505	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	186.json
4639	3,3,3,3	0.6835629343986511,0.7566012740135193,0.7566012740135193,0.6216409206390381	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	0,0,0,0	15.0,15.0,15.0,14.0	3.0,3.0,3.0,3.0	17.0,17.0,17.0,17.0	3.0,3.0,3.0,3.0	18.0,18.0,18.0,17.0	20.0,20.0,20.0,20.0	83.398506,83.398506,83.398506,81.74926	7.5,7.5,7.5,7.0	625.4888,625.4888,625.4888,572.2448	34.749374,34.749374,34.749374,31.791378	0.027799502,0.027799502,0.027799502,0.027249753	129.9696044921875,129.9696044921875,129.9696044921875,130.07347106933594	0,9,1324,2021	0,1,0,1	0,2,0,2	0,25,0,13	3900.json
4555	20,19,19,19,19,19	0.0,1.2523744953796268E-4,1.2523744953796268E-4,1.2523744953796268E-4,1.2523744953796268E-4,1.2523744953796268E-4	3,3,3,3,3,3	3,3,3,3,3,3	6,6,6,6,6,6	3,3,3,3,3,3	8.82,9.05,9.05,9.05,9.05,9.05	2,2,2,2,2,2	8,7,7,7,7,7	28.0,27.0,27.0,27.0,27.0,27.0	20.0,18.0,18.0,18.0,18.0,18.0	92.0,87.0,87.0,87.0,87.0,87.0	51.0,48.0,48.0,48.0,48.0,48.0	48.0,45.0,45.0,45.0,45.0,45.0	143.0,135.0,135.0,135.0,135.0,135.0	798.6496,741.4002,741.4002,741.4002,741.4002,741.4002	35.7,36.0,36.0,36.0,36.0,36.0	28511.791,26690.408,26690.408,26690.408,26690.408,26690.408	1583.9884,1482.8004,1482.8004,1482.8004,1482.8004,1482.8004	0.26621655,0.2471334,0.2471334,0.2471334,0.2471334,0.2471334	87.02793884277344,88.24567413330078,88.24567413330078,88.24567413330078,88.24567413330078,88.24567413330078	0,62,771,771,902,1240	0,4,0,0,0,0	0,9,0,0,0,0	0,95,0,0,0,0	103.json
2665	3,3	0.8197743892669678,0.8197743892669678	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	9.0,9.0	2.0,2.0	10.0,10.0	2.0,2.0	11.0,11.0	12.0,12.0	41.51318,41.51318	4.5,4.5	186.80931,186.80931	10.378295,10.378295	0.013837727,0.013837727	133.59722900390625,133.59722900390625	0,13	0,0	0,0	0,0	2011.json
