Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
3047	4,4	0.6661203503608704,0.38757970929145813	0,0	0,0	0,0	1,1	1.73,1.73	0,0	2,2	0,210	0,1	0,2	0,17	16119.json
1691	4	0.06577881425619125	0	0	0	1	1.73	0	1	0	0	0	0	18380.json
1848	17,17	0.02833041548728943,0.034423425793647766	5,5	6,6	11,11	5,5	4.71,4.71	3,3	10,9	0,1049	0,1	0,2	0,9	10679.json
1298	4	0.6890974044799805	0	0	0	1	1.73	0	1	0	0	0	0	16372.json
2250	4	0.02176557295024395	0	0	0	1	1.73	0	1	0	0	0	0	19344.json
1853	7,9,10,8	0.827653169631958,0.5958766937255859,0.5799185633659363,0.8114513158798218	1,2,2,1	1,3,3,1	2,5,5,2	2,3,3,2	2.8,2.95,2.8,2.65	0,0,0,0	1,1,3,3	0,5,124,1361	0,2,1,0	0,2,1,2	0,102,43,102	8162.json
2393	4	0.5744184851646423	0	0	0	1	1.73	0	0	0	0	0	0	6740.json
2888	4,4	0.8030060529708862,0.8030060529708862	0,0	0,0	0,0	1,1	1.73,1.73	0,0	0,0	0,199	0,0	0,0	0,0	2605.json
1787	9	0.19596807658672333	2	2	4	3	2.51	0	6	0	0	0	0	18957.json
1807	4,4	0.6025220155715942,0.5990785956382751	0,0	0,0	0,0	1,1	1.73,1.73	0,0	1,1	0,0	0,1	0,2	0,7	7161.json
1809	12,13	0.7502641081809998,0.7489233016967773	0,0	4,4	4,4	5,6	3.7,4.04	2,2	0,0	0,303	0,2	0,3	0,34	17747.json
1601	10,10,10,10,10	0.35406190156936646,0.4795677363872528,0.1615704894065857,0.4795677363872528,0.4762119948863983	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	3,3,3,3,3	3.58,3.58,3.58,3.58,3.58	1,1,1,1,1	2,2,2,2,2	0,63,225,299,1481	0,2,4,4,1	0,4,8,8,2	0,25,70,70,4	12468.json
1809	5,4	0.3520086705684662,0.32912757992744446	0,0	0,0	0,0	1,1	1.89,1.73	0,0	0,0	0,532	0,1	0,7	0,467	18400.json
661	4	0.21949265897274017	0	0	0	1	1.73	0	2	0	0	0	0	220.json
756	12	0.0	1	1	2	2	32.29	0	3	0	0	0	0	13900.json
1691	6	0.48619699478149414	1	1	2	2	4.92	0	0	0	0	0	0	15222.json
2073	4	0.6432374119758606	0	0	0	1	1.73	0	0	0	0	0	0	19314.json
651	4,4	0.21517786383628845,0.12149368226528168	0,0	0,0	0,0	1,1	1.73,1.73	0,0	1,1	0,33	0,2	0,4	0,15	11315.json
